time;Tair_hi
0;30.0
3600;30.0
7200;30.0
10800;30.0
14400;30.0
18000;30.0
21600;30.0
25200;30.0
28800;30.0
32400;24.0
36000;24.0
39600;24.0
43200;24.0
46800;24.0
50400;24.0
54000;24.0
57600;24.0
61200;24.0
64800;30.0
68400;30.0
72000;30.0
75600;30.0
79200;30.0
82800;30.0
86400;30.0
90000;30.0
93600;30.0
97200;30.0
100800;30.0
104400;30.0
108000;30.0
111600;30.0
115200;30.0
118800;24.0
122400;24.0
126000;24.0
129600;24.0
133200;24.0
136800;24.0
140400;24.0
144000;24.0
147600;24.0
151200;30.0
154800;30.0
158400;30.0
162000;30.0
165600;30.0
169200;30.0
172800;30.0
176400;30.0
180000;30.0
183600;30.0
187200;30.0
190800;30.0
194400;30.0
198000;30.0
201600;30.0
205200;24.0
208800;24.0
212400;24.0
216000;24.0
219600;24.0
223200;24.0
226800;24.0
230400;24.0
234000;24.0
237600;30.0
241200;30.0
244800;30.0
248400;30.0
252000;30.0
255600;30.0
259200;30.0
262800;30.0
266400;30.0
270000;30.0
273600;30.0
277200;30.0
280800;30.0
284400;30.0
288000;30.0
291600;24.0
295200;24.0
298800;24.0
302400;24.0
306000;24.0
309600;24.0
313200;24.0
316800;24.0
320400;24.0
324000;30.0
327600;30.0
331200;30.0
334800;30.0
338400;30.0
342000;30.0
345600;30.0
349200;30.0
352800;30.0
356400;30.0
360000;30.0
363600;30.0
367200;30.0
370800;30.0
374400;30.0
378000;24.0
381600;24.0
385200;24.0
388800;24.0
392400;24.0
396000;24.0
399600;24.0
403200;24.0
406800;24.0
410400;30.0
414000;30.0
417600;30.0
421200;30.0
424800;30.0
428400;30.0
432000;30.0
435600;30.0
439200;30.0
442800;30.0
446400;30.0
450000;30.0
453600;30.0
457200;30.0
460800;30.0
464400;24.0
468000;24.0
471600;24.0
475200;24.0
478800;24.0
482400;24.0
486000;24.0
489600;24.0
493200;24.0
496800;30.0
500400;30.0
504000;30.0
507600;30.0
511200;30.0
514800;30.0
518400;30.0
522000;30.0
525600;30.0
529200;30.0
532800;30.0
536400;30.0
540000;30.0
543600;30.0
547200;30.0
550800;24.0
554400;24.0
558000;24.0
561600;24.0
565200;24.0
568800;24.0
572400;24.0
576000;24.0
579600;24.0
583200;30.0
586800;30.0
590400;30.0
594000;30.0
597600;30.0
601200;30.0
604800;30.0
