time;solrad;Tout;occ
0;0;8.399999619;0
3600;0;7.399999619;0
7200;0;7.399999619;0
10800;31.4;8.899999619;0
14400;107.5133324;10.89999962;0
18000;191.7066625;12.89999962;0
21600;321.3599955;15.39999962;0
25200;478.7840027;17.73333486;0
28800;573.013326;18.06666819;1
32400;614.4;18.06666819;1
36000;649.2159912;18.90000153;1
39600;618.2400055;17.40000153;1
43200;547.6799927;17.40000153;1
46800;449.3866628;16.39999962;1
50400;315.2319946;16.39999962;1
54000;206.6666667;15.39999962;1
57600;104.679999;14.39999962;1
61200;23.6;12.89999962;0
64800;23.6;11.39999962;0
68400;23.6;10.39999962;0
72000;23.6;9.399999619;0
75600;23.6;9.399999619;0
79200;23.6;8.399999619;0
82800;23.6;8.399999619;0
86400;23.6;7.399999619;0
90000;23.6;7.399999619;0
93600;23.6;7.399999619;0
97200;38;9.899999619;0
100800;113.1866659;12.89999962;0
104400;204.706665;16.47999992;0
108000;340.1866659;18;0
111600;506.5066732;19.83333333;0
115200;602.0266622;19;1
118800;667.5199951;20.5;1
122400;667.2533264;18.5;1
126000;657.2159912;16.5;1
129600;574.6666667;16.5;1
133200;469.3333282;16.5;1
136800;329.5679993;16.5;1
140400;218.6933339;15.5;1
144000;114.0199979;14.5;1
147600;33.66666667;13;0
151200;3;11.5;0
154800;3;10.5;0
158400;3;9.5;0
162000;3;8.5;0
165600;3;8.5;0
169200;3;7.5;0
172800;3;7.5;0
176400;3;6.5;0
180000;3;6.5;0
183600;39.4;8.5;0
187200;112.2599983;11;0
190800;196.1733348;12.5;0
194400;282.3199972;14;0
198000;371.0719971;15.60000038;0
201600;593.4080078;16.60000038;1
205200;639.2533366;17.70000076;1
208800;632.7466634;16.70000076;1
212400;593.5466665;15.70000076;1
216000;568.4479858;15.70000076;1
219600;461.5466665;15.70000076;1
223200;244.8533312;15.70000076;1
226800;48.2;13.70000076;1
230400;48.2;11.30000076;1
234000;48.2;10.70000076;0
237600;48.2;10.70000076;0
241200;48.2;9.700000763;0
244800;48.2;7.700000763;0
248400;48.2;7.700000763;0
252000;48.2;6.700000763;0
255600;48.2;5.700000763;0
259200;48.2;5.700000763;0
